language_a,language_b,cosine_similarity,rank
Hungarian,Hebrew,1.0000001192092896,1
Gujarati,Javanese,1,2
Gujarati,Polish,1,3
Gujarati,Punjabi,1,4
Gujarati,Czech,1,5
Gujarati,Amharic,1,6
Gujarati,Burmese,1,7
Gujarati,Khmer,1,8
Gujarati,Somali,1,9
Gujarati,Pashto,1,10
Gujarati,Tagalog,1,11
Javanese,Polish,1,12
Javanese,Punjabi,1,13
Javanese,Czech,1,14
Javanese,Amharic,1,15
Javanese,Burmese,1,16
Javanese,Khmer,1,17
Javanese,Somali,1,18
Javanese,Pashto,1,19
Javanese,Tagalog,1,20
Persian,Zulu,1,21
Polish,Punjabi,1,22
Polish,Czech,1,23
Polish,Amharic,1,24
Polish,Burmese,1,25
Polish,Khmer,1,26
Polish,Somali,1,27
Polish,Pashto,1,28
Polish,Tagalog,1,29
Punjabi,Czech,1,30
Punjabi,Amharic,1,31
Punjabi,Burmese,1,32
Punjabi,Khmer,1,33
Punjabi,Somali,1,34
Punjabi,Pashto,1,35
Punjabi,Tagalog,1,36
Czech,Amharic,1,37
Czech,Burmese,1,38
Czech,Khmer,1,39
Czech,Somali,1,40
Czech,Pashto,1,41
Czech,Tagalog,1,42
Amharic,Burmese,1,43
Amharic,Khmer,1,44
Amharic,Somali,1,45
Amharic,Pashto,1,46
Amharic,Tagalog,1,47
Burmese,Khmer,1,48
Burmese,Somali,1,49
Burmese,Pashto,1,50
Burmese,Tagalog,1,51
Khmer,Somali,1,52
Khmer,Pashto,1,53
Khmer,Tagalog,1,54
Somali,Pashto,1,55
Somali,Tagalog,1,56
Pashto,Tagalog,1,57
Malay,Ukrainian,0.9999998807907104,58
Odia,Romanian,0.9999998807907104,59
Odia,Nepali,0.9999998807907104,60
Romanian,Nepali,0.9999998807907104,61
Dutch,Greek,0.9999998807907104,62
Dutch,Sinhalese,0.9999998807907104,63
Greek,Sinhalese,0.9999998807907104,64
Swedish,Hausa,0.996772050857544,65
Kannada,Hungarian,0.9956283569335938,66
Kannada,Hebrew,0.9956283569335938,67
Gujarati,Dutch,0.9955902099609375,68
Gujarati,Greek,0.9955902099609375,69
Gujarati,Sinhalese,0.9955902099609375,70
Javanese,Dutch,0.9955902099609375,71
Javanese,Greek,0.9955902099609375,72
Javanese,Sinhalese,0.9955902099609375,73
Polish,Dutch,0.9955902099609375,74
Polish,Greek,0.9955902099609375,75
Polish,Sinhalese,0.9955902099609375,76
Punjabi,Dutch,0.9955902099609375,77
Punjabi,Greek,0.9955902099609375,78
Punjabi,Sinhalese,0.9955902099609375,79
Dutch,Czech,0.9955902099609375,80
Dutch,Amharic,0.9955902099609375,81
Dutch,Burmese,0.9955902099609375,82
Dutch,Khmer,0.9955902099609375,83
Dutch,Somali,0.9955902099609375,84
Dutch,Pashto,0.9955902099609375,85
Dutch,Tagalog,0.9955902099609375,86
Greek,Czech,0.9955902099609375,87
Greek,Amharic,0.9955902099609375,88
Greek,Burmese,0.9955902099609375,89
Greek,Khmer,0.9955902099609375,90
Greek,Somali,0.9955902099609375,91
Greek,Pashto,0.9955902099609375,92
Greek,Tagalog,0.9955902099609375,93
Czech,Sinhalese,0.9955902099609375,94
Amharic,Sinhalese,0.9955902099609375,95
Burmese,Sinhalese,0.9955902099609375,96
Khmer,Sinhalese,0.9955902099609375,97
Sinhalese,Somali,0.9955902099609375,98
Sinhalese,Pashto,0.9955902099609375,99
Sinhalese,Tagalog,0.9955902099609375,100
Dutch,Hungarian,0.9937477111816406,101
Dutch,Hebrew,0.9937477111816406,102
Greek,Hungarian,0.9937477111816406,103
Greek,Hebrew,0.9937477111816406,104
Hungarian,Sinhalese,0.9937477111816406,105
Sinhalese,Hebrew,0.9937477111816406,106
Arabic,Arabic,0.9934998750686646,107
Gujarati,Hungarian,0.9862185120582581,108
Gujarati,Hebrew,0.9862185120582581,109
Javanese,Hungarian,0.9862185120582581,110
Javanese,Hebrew,0.9862185120582581,111
Polish,Hungarian,0.9862185120582581,112
Polish,Hebrew,0.9862185120582581,113
Punjabi,Hungarian,0.9862185120582581,114
Punjabi,Hebrew,0.9862185120582581,115
Czech,Hungarian,0.9862185120582581,116
Czech,Hebrew,0.9862185120582581,117
Hungarian,Amharic,0.9862185120582581,118
Hungarian,Burmese,0.9862185120582581,119
Hungarian,Khmer,0.9862185120582581,120
Hungarian,Somali,0.9862185120582581,121
Hungarian,Pashto,0.9862185120582581,122
Hungarian,Tagalog,0.9862185120582581,123
Amharic,Hebrew,0.9862185120582581,124
Burmese,Hebrew,0.9862185120582581,125
Khmer,Hebrew,0.9862185120582581,126
Somali,Hebrew,0.9862185120582581,127
Pashto,Hebrew,0.9862185120582581,128
Tagalog,Hebrew,0.9862185120582581,129
Kannada,Dutch,0.9849227070808411,130
Kannada,Greek,0.9849227070808411,131
Kannada,Sinhalese,0.9849227070808411,132
Bengali,Telugu,0.9819623827934265,133
Malay,Danish,0.9818981289863586,134
Ukrainian,Danish,0.9818981289863586,135
German,German,0.9785454273223877,136
Hausa,Danish,0.9777861833572388,137
Gujarati,Persian,0.9777690172195435,138
Gujarati,Zulu,0.9777690172195435,139
Javanese,Persian,0.9777690172195435,140
Javanese,Zulu,0.9777690172195435,141
Persian,Polish,0.9777690172195435,142
Persian,Punjabi,0.9777690172195435,143
Persian,Czech,0.9777690172195435,144
Persian,Amharic,0.9777690172195435,145
Persian,Burmese,0.9777690172195435,146
Persian,Khmer,0.9777690172195435,147
Persian,Somali,0.9777690172195435,148
Persian,Pashto,0.9777690172195435,149
Persian,Tagalog,0.9777690172195435,150
Polish,Zulu,0.9777690172195435,151
Punjabi,Zulu,0.9777690172195435,152
Czech,Zulu,0.9777690172195435,153
Zulu,Amharic,0.9777690172195435,154
Zulu,Burmese,0.9777690172195435,155
Zulu,Khmer,0.9777690172195435,156
Zulu,Somali,0.9777690172195435,157
Zulu,Pashto,0.9777690172195435,158
Zulu,Tagalog,0.9777690172195435,159
Malay,Hausa,0.9768126010894775,160
Ukrainian,Hausa,0.9768126010894775,161
Bengali,Tamil,0.9756631851196289,162
Persian,Odia,0.9754616022109985,163
Persian,Romanian,0.9754616022109985,164
Persian,Nepali,0.9754616022109985,165
Odia,Zulu,0.9754616022109985,166
Romanian,Zulu,0.9754616022109985,167
Zulu,Nepali,0.9754616022109985,168
Gujarati,Odia,0.9752702713012695,169
Gujarati,Romanian,0.9752702713012695,170
Gujarati,Nepali,0.9752702713012695,171
Javanese,Odia,0.9752702713012695,172
Javanese,Romanian,0.9752702713012695,173
Javanese,Nepali,0.9752702713012695,174
Polish,Odia,0.9752702713012695,175
Polish,Romanian,0.9752702713012695,176
Polish,Nepali,0.9752702713012695,177
Odia,Punjabi,0.9752702713012695,178
Odia,Czech,0.9752702713012695,179
Odia,Amharic,0.9752702713012695,180
Odia,Burmese,0.9752702713012695,181
Odia,Khmer,0.9752702713012695,182
Odia,Somali,0.9752702713012695,183
Odia,Pashto,0.9752702713012695,184
Odia,Tagalog,0.9752702713012695,185
Punjabi,Romanian,0.9752702713012695,186
Punjabi,Nepali,0.9752702713012695,187
Romanian,Czech,0.9752702713012695,188
Romanian,Amharic,0.9752702713012695,189
Romanian,Burmese,0.9752702713012695,190
Romanian,Khmer,0.9752702713012695,191
Romanian,Somali,0.9752702713012695,192
Romanian,Pashto,0.9752702713012695,193
Romanian,Tagalog,0.9752702713012695,194
Czech,Nepali,0.9752702713012695,195
Amharic,Nepali,0.9752702713012695,196
Burmese,Nepali,0.9752702713012695,197
Khmer,Nepali,0.9752702713012695,198
Somali,Nepali,0.9752702713012695,199
Nepali,Pashto,0.9752702713012695,200
Nepali,Tagalog,0.9752702713012695,201
Telugu,Tamil,0.9739269018173218,202
Gujarati,Kannada,0.9718863368034363,203
Javanese,Kannada,0.9718863368034363,204
Polish,Kannada,0.9718863368034363,205
Kannada,Punjabi,0.9718863368034363,206
Kannada,Czech,0.9718863368034363,207
Kannada,Amharic,0.9718863368034363,208
Kannada,Burmese,0.9718863368034363,209
Kannada,Khmer,0.9718863368034363,210
Kannada,Somali,0.9718863368034363,211
Kannada,Pashto,0.9718863368034363,212
Kannada,Tagalog,0.9718863368034363,213
Swedish,Danish,0.9710951447486877,214
Persian,Dutch,0.9702414274215698,215
Persian,Greek,0.9702414274215698,216
Persian,Sinhalese,0.9702414274215698,217
Dutch,Zulu,0.9702414274215698,218
Greek,Zulu,0.9702414274215698,219
Zulu,Sinhalese,0.9702414274215698,220
German,Swahili,0.9692156314849854,221
Urdu,Urdu,0.9677416086196899,222
Russian,Russian,0.967706561088562,223
German,Swahili,0.9671936631202698,224
German,Korean,0.9671290516853333,225
Marathi,Korean,0.9670568704605103,226
English,German,0.9664372801780701,227
Japanese,Marathi,0.965303361415863,228
Swahili,Tamil,0.9646740555763245,229
Malay,Swedish,0.9645845890045166,230
Ukrainian,Swedish,0.9645845890045166,231
German,Marathi,0.9641754031181335,232
Arabic,Korean,0.9639000296592712,233
Portuguese,German,0.9636991620063782,234
German,Japanese,0.963578462600708,235
Urdu,German,0.9634597897529602,236
Arabic,Korean,0.9634184241294861,237
Bengali,German,0.9632968306541443,238
German,Urdu,0.9631178975105286,239
English,German,0.9630681872367859,240
German,Marathi,0.9622026681900024,241
Japanese,Japanese,0.9621667861938477,242
German,Korean,0.961146354675293,243
Arabic,German,0.9608327150344849,244
Indonesian,Indonesian,0.9601976871490479,245
Portuguese,Korean,0.9601314067840576,246
Odia,Dutch,0.9599732160568237,247
Odia,Greek,0.9599732160568237,248
Odia,Sinhalese,0.9599732160568237,249
Romanian,Dutch,0.9599732160568237,250
Romanian,Greek,0.9599732160568237,251
Romanian,Sinhalese,0.9599732160568237,252
Dutch,Nepali,0.9599732160568237,253
Greek,Nepali,0.9599732160568237,254
Sinhalese,Nepali,0.9599732160568237,255
Bengali,Swahili,0.9598665237426758,256
Urdu,Korean,0.9595895409584045,257
German,Telugu,0.9593443870544434,258
Japanese,Korean,0.9593157172203064,259
Indonesian,Japanese,0.9590412378311157,260
Bengali,Bengali,0.9585390090942383,261
Arabic,German,0.9584786891937256,262
Gujarati,Malay,0.9580892324447632,263
Gujarati,Ukrainian,0.9580892324447632,264
Javanese,Malay,0.9580892324447632,265
Javanese,Ukrainian,0.9580892324447632,266
Polish,Malay,0.9580892324447632,267
Polish,Ukrainian,0.9580892324447632,268
Malay,Punjabi,0.9580892324447632,269
Malay,Czech,0.9580892324447632,270
Malay,Amharic,0.9580892324447632,271
Malay,Burmese,0.9580892324447632,272
Malay,Khmer,0.9580892324447632,273
Malay,Somali,0.9580892324447632,274
Malay,Pashto,0.9580892324447632,275
Malay,Tagalog,0.9580892324447632,276
Punjabi,Ukrainian,0.9580892324447632,277
Ukrainian,Czech,0.9580892324447632,278
Ukrainian,Amharic,0.9580892324447632,279
Ukrainian,Burmese,0.9580892324447632,280
Ukrainian,Khmer,0.9580892324447632,281
Ukrainian,Somali,0.9580892324447632,282
Ukrainian,Pashto,0.9580892324447632,283
Ukrainian,Tagalog,0.9580892324447632,284
Urdu,Marathi,0.9579583406448364,285
Swahili,Telugu,0.9578856229782104,286
Mandarin Chinese,Swahili,0.9578617811203003,287
Indonesian,Marathi,0.9577317237854004,288
German,Bengali,0.9576396942138672,289
German,Japanese,0.9573618769645691,290
Russian,Indonesian,0.9572820663452148,291
Swahili,Korean,0.9572146534919739,292
Arabic,Bengali,0.9569328427314758,293
Marathi,Turkish,0.9567586779594421,294
German,Turkish,0.9566072821617126,295
Portuguese,Portuguese,0.9560577869415283,296
Malay,Dutch,0.9555941224098206,297
Malay,Greek,0.9555941224098206,298
Malay,Sinhalese,0.9555941224098206,299
Ukrainian,Dutch,0.9555941224098206,300
Ukrainian,Greek,0.9555941224098206,301
Ukrainian,Sinhalese,0.9555941224098206,302
Japanese,Swahili,0.9552194476127625,303
English,Turkish,0.9552149772644043,304
Portuguese,Indonesian,0.9551326036453247,305
English,Swahili,0.9551005363464355,306
Arabic,Japanese,0.9548238515853882,307
Portuguese,Korean,0.9547936916351318,308
Portuguese,German,0.9545754194259644,309
English,Hindi,0.9545465707778931,310
Bengali,Korean,0.9545049667358398,311
Swahili,Turkish,0.9543588757514954,312
Telugu,Korean,0.9543524980545044,313
German,Telugu,0.9543102383613586,314
German,Tamil,0.9541610479354858,315
Persian,Hungarian,0.9538416862487793,316
Persian,Hebrew,0.9538416862487793,317
Hungarian,Zulu,0.9538416862487793,318
Zulu,Hebrew,0.9538416862487793,319
Russian,Indonesian,0.9534957408905029,320
Russian,German,0.9533872008323669,321
Arabic,Marathi,0.9532721042633057,322
Bengali,Japanese,0.9531441330909729,323
Portuguese,Marathi,0.9531294107437134,324
German,Turkish,0.9531228542327881,325
Portuguese,Turkish,0.9530767202377319,326
Russian,Japanese,0.9530242681503296,327
German,Tamil,0.9528932571411133,328
Arabic,Cantonese,0.9527612924575806,329
Japanese,Tamil,0.9523997902870178,330
Swahili,Marathi,0.9523864388465881,331
Urdu,Indonesian,0.952318012714386,332
Spanish,German,0.9522433876991272,333
Dutch,Hausa,0.9519966840744019,334
Greek,Hausa,0.9519966840744019,335
Hausa,Sinhalese,0.9519966840744019,336
Indonesian,Russian,0.9518685340881348,337
Malay,Hungarian,0.9518389701843262,338
Malay,Hebrew,0.9518389701843262,339
Ukrainian,Hungarian,0.9518389701843262,340
Ukrainian,Hebrew,0.9518389701843262,341
Portuguese,Japanese,0.9516540765762329,342
Portuguese,Marathi,0.9515661001205444,343
Russian,Italian,0.9513789415359497,344
Urdu,Swahili,0.9513747692108154,345
Arabic,Telugu,0.95131915807724,346
Japanese,Marathi,0.9512807130813599,347
Japanese,Turkish,0.9512231349945068,348
English,Bengali,0.9512227773666382,349
Arabic,Portuguese,0.9511905312538147,350
Gujarati,Hausa,0.9511625170707703,351
Javanese,Hausa,0.9511625170707703,352
Polish,Hausa,0.9511625170707703,353
Punjabi,Hausa,0.9511625170707703,354
Czech,Hausa,0.9511625170707703,355
Amharic,Hausa,0.9511625170707703,356
Hausa,Burmese,0.9511625170707703,357
Hausa,Khmer,0.9511625170707703,358
Hausa,Somali,0.9511625170707703,359
Hausa,Pashto,0.9511625170707703,360
Hausa,Tagalog,0.9511625170707703,361
Turkish,Korean,0.9511139392852783,362
Russian,German,0.9511064291000366,363
Portuguese,Indonesian,0.9510483145713806,364
Arabic,Japanese,0.9508528113365173,365
Arabic,Marathi,0.9507856369018555,366
Portuguese,Telugu,0.9507819414138794,367
Gujarati,Danish,0.9505473971366882,368
Javanese,Danish,0.9505473971366882,369
Polish,Danish,0.9505473971366882,370
Punjabi,Danish,0.9505473971366882,371
Czech,Danish,0.9505473971366882,372
Amharic,Danish,0.9505473971366882,373
Burmese,Danish,0.9505473971366882,374
Khmer,Danish,0.9505473971366882,375
Somali,Danish,0.9505473971366882,376
Pashto,Danish,0.9505473971366882,377
Tagalog,Danish,0.9505473971366882,378
Arabic,Bengali,0.9502567052841187,379
Dutch,Danish,0.9501737952232361,380
Greek,Danish,0.9501737952232361,381
Sinhalese,Danish,0.9501737952232361,382
English,Italian,0.9501231908798218,383
Portuguese,Japanese,0.9501131772994995,384
English,Portuguese,0.9497878551483154,385
Arabic,Portuguese,0.9497526288032532,386
Arabic,Tamil,0.9496570229530334,387
French,German,0.949553906917572,388
Hindi,German,0.9494764804840088,389
Portuguese,Swahili,0.9494671821594238,390
Japanese,Telugu,0.9493894577026367,391
Indonesian,German,0.9492278695106506,392
English,Japanese,0.9491137266159058,393
Russian,Japanese,0.9490204453468323,394
Bengali,Cantonese,0.9488981366157532,395
Spanish,Turkish,0.948837161064148,396
Urdu,Tamil,0.9488174319267273,397
Hindi,Korean,0.9487382173538208,398
Mandarin Chinese,Korean,0.9486079812049866,399
French,German,0.9484868049621582,400
Tamil,Korean,0.9484448432922363,401
German,Arabic,0.9483444094657898,402
Arabic,German,0.948249101638794,403
Bengali,Marathi,0.9482223987579346,404
Turkish,Tamil,0.9482187032699585,405
Bengali,Turkish,0.9479809403419495,406
Urdu,German,0.947925865650177,407
Portuguese,Bengali,0.9479071497917175,408
Urdu,Turkish,0.9478976130485535,409
English,Tamil,0.947803795337677,410
German,Portuguese,0.947743833065033,411
Mandarin Chinese,German,0.9477205276489258,412
Urdu,Tamil,0.9477007389068604,413
Portuguese,German,0.9476366639137268,414
Russian,Urdu,0.9475823044776917,415
Bengali,Portuguese,0.9475489854812622,416
Hungarian,Danish,0.9474532008171082,417
Hebrew,Danish,0.9474532008171082,418
Urdu,Telugu,0.9473834037780762,419
German,Cantonese,0.9472920894622803,420
English,Russian,0.9472530484199524,421
Russian,Marathi,0.9471520185470581,422
Telugu,Turkish,0.947135329246521,423
Spanish,Japanese,0.9470407962799072,424
Dutch,Swedish,0.9469141364097595,425
Greek,Swedish,0.9469141364097595,426
Swedish,Sinhalese,0.9469141364097595,427
Arabic,Cantonese,0.9468621611595154,428
English,Marathi,0.9467837810516357,429
Indonesian,German,0.9467243552207947,430
Portuguese,Swahili,0.946664035320282,431
English,Korean,0.946644127368927,432
Urdu,Vietnamese,0.9465773701667786,433
Portuguese,Cantonese,0.9464844465255737,434
Indonesian,Italian,0.9464297294616699,435
German,Italian,0.9463839530944824,436
Russian,Indonesian,0.9462668895721436,437
Arabic,Tamil,0.9462580680847168,438
Bengali,Telugu,0.9460755586624146,439
Urdu,Indonesian,0.9460518956184387,440
Cantonese,Korean,0.9459553956985474,441
Gujarati,Swedish,0.9458761215209961,442
Javanese,Swedish,0.9458761215209961,443
Polish,Swedish,0.9458761215209961,444
Punjabi,Swedish,0.9458761215209961,445
Czech,Swedish,0.9458761215209961,446
Swedish,Amharic,0.9458761215209961,447
Swedish,Burmese,0.9458761215209961,448
Swedish,Khmer,0.9458761215209961,449
Swedish,Somali,0.9458761215209961,450
Swedish,Pashto,0.9458761215209961,451
Swedish,Tagalog,0.9458761215209961,452
Arabic,Urdu,0.9458613991737366,453
French,Indonesian,0.945842444896698,454
Russian,Korean,0.9458091855049133,455
Russian,German,0.9457956552505493,456
Bengali,Tamil,0.9457691311836243,457
Marathi,Cantonese,0.9456526041030884,458
Telugu,Cantonese,0.9454315304756165,459
English,Portuguese,0.9452970027923584,460
Urdu,Japanese,0.9450852870941162,461
Arabic,Swahili,0.9449895620346069,462
French,Portuguese,0.9448834657669067,463
Arabic,Telugu,0.9448474645614624,464
English,Telugu,0.9447143077850342,465
Korean,Thai,0.9446613192558289,466
Persian,Hausa,0.9446423053741455,467
Zulu,Hausa,0.9446423053741455,468
Japanese,Cantonese,0.9445780515670776,469
Hindi,Turkish,0.9444781541824341,470
Japanese,Vietnamese,0.9444499611854553,471
Arabic,Turkish,0.9443577527999878,472
French,Marathi,0.9442844390869141,473
Mandarin Chinese,Arabic,0.9442713260650635,474
Japanese,Korean,0.9442680478096008,475
Korean,Vietnamese,0.9442341923713684,476
Hindi,German,0.9441559314727783,477
Portuguese,Russian,0.9440996646881104,478
Arabic,Swahili,0.9440560340881348,479
Indonesian,Korean,0.9439061284065247,480
Arabic,Indonesian,0.9437007904052734,481
Mandarin Chinese,German,0.943692684173584,482
Swahili,Cantonese,0.943673849105835,483
English,Indonesian,0.9436558485031128,484
Bengali,Arabic,0.943591833114624,485
French,Indonesian,0.943518340587616,486
Hindi,Urdu,0.9434091448783875,487
German,Indonesian,0.9433900713920593,488
Marathi,Telugu,0.9432038068771362,489
Marathi,Tamil,0.9431989192962646,490
Portuguese,Arabic,0.9431506991386414,491
Mandarin Chinese,Vietnamese,0.9430469274520874,492
Hindi,Arabic,0.9430297613143921,493
Hungarian,Hausa,0.9430191516876221,494
Hausa,Hebrew,0.9430191516876221,495
Indonesian,Swahili,0.9429395198822021,496
German,Russian,0.9429267048835754,497
French,Russian,0.9428896903991699,498
Arabic,Portuguese,0.9427868127822876,499
Mandarin Chinese,Arabic,0.9427707195281982,500
German,Italian,0.9427646994590759,501
Spanish,German,0.9426981210708618,502
Odia,Hungarian,0.9426798820495605,503
Odia,Hebrew,0.9426798820495605,504
Romanian,Hungarian,0.9426798820495605,505
Romanian,Hebrew,0.9426798820495605,506
Hungarian,Nepali,0.9426798820495605,507
Nepali,Hebrew,0.9426798820495605,508
Portuguese,Indonesian,0.9426048398017883,509
Bengali,Indonesian,0.9425528049468994,510
Spanish,Telugu,0.9425093531608582,511
Russian,Portuguese,0.9424452185630798,512
Indonesian,Thai,0.9423321485519409,513
Arabic,Turkish,0.9423177242279053,514
Swahili,Italian,0.9421250224113464,515
Indonesian,Telugu,0.9421178698539734,516
Portuguese,Tamil,0.9421135783195496,517
Russian,Telugu,0.9421085715293884,518
Mandarin Chinese,Japanese,0.9419563412666321,519
Turkish,Italian,0.9417686462402344,520
Persian,Swedish,0.9416663646697998,521
Swedish,Zulu,0.9416663646697998,522
Mandarin Chinese,Marathi,0.9416147470474243,523
Malay,Kannada,0.9413618445396423,524
Kannada,Ukrainian,0.9413618445396423,525
Hindi,Tamil,0.9412258863449097,526
Indonesian,Tamil,0.94120192527771,527
French,Portuguese,0.941145658493042,528
Portuguese,Italian,0.9411231875419617,529
Indonesian,Bengali,0.9410195350646973,530
French,Swahili,0.9408511519432068,531
Odia,Swedish,0.9408027529716492,532
Romanian,Swedish,0.9408027529716492,533
Swedish,Nepali,0.9408027529716492,534
Portuguese,Urdu,0.9407559037208557,535
Spanish,Portuguese,0.9407187104225159,536
Russian,Swahili,0.9406229257583618,537
Indonesian,Italian,0.9405725598335266,538
Indonesian,Urdu,0.9404959678649902,539
Russian,Bengali,0.9404243230819702,540
Arabic,Urdu,0.9402287602424622,541
Bengali,Urdu,0.9402047991752625,542
Indonesian,Turkish,0.9401600360870361,543
Hindi,Italian,0.9401016235351562,544
Urdu,Italian,0.9399282932281494,545
Cantonese,Vietnamese,0.9398151636123657,546
Indonesian,German,0.9397991895675659,547
Bengali,Japanese,0.939580500125885,548
Hungarian,Swedish,0.93924880027771,549
Swedish,Hebrew,0.93924880027771,550
Japanese,Vietnamese,0.9392181634902954,551
Odia,Danish,0.9390502572059631,552
Romanian,Danish,0.9390502572059631,553
Nepali,Danish,0.9390502572059631,554
Bengali,Japanese,0.9390368461608887,555
Japanese,Indonesian,0.9389963746070862,556
French,Cantonese,0.9388440251350403,557
Portuguese,Telugu,0.9387557506561279,558
Persian,Kannada,0.9387245178222656,559
Kannada,Zulu,0.9387245178222656,560
Indonesian,Japanese,0.9386882781982422,561
Spanish,Portuguese,0.9386630654335022,562
French,Bengali,0.9386362433433533,563
Hindi,Arabic,0.9385025501251221,564
Russian,Arabic,0.9384143352508545,565
French,Turkish,0.9384140372276306,566
Mandarin Chinese,Japanese,0.9383994340896606,567
Mandarin Chinese,Cantonese,0.9383437037467957,568
Odia,Hausa,0.9383292198181152,569
Romanian,Hausa,0.9383292198181152,570
Hausa,Nepali,0.9383292198181152,571
Urdu,Swahili,0.9383016228675842,572
English,Spanish,0.9382485151290894,573
Bengali,Turkish,0.938198447227478,574
Spanish,Indonesian,0.9381936192512512,575
Hindi,Japanese,0.9381309747695923,576
