language	script	word_order	sentence_example	stress_pattern	case_system	gender_system	rhythm	token_count	santok_length_factor	santok_balance_index	santok_entropy_index	santok_mean	santok_variance	phase1_cluster_count	phase1_boundary_count	phase1_repetition_score	phase2_stability_score	phase2_identity_count	phase3_node_count	phase3_edge_count	phase3_density	embedding_vector	embedding_dim	pipeline	device
English	Latin	SVO	The quick brown fox jumps over the lazy dog.	Variable lexical stress	Minimal: pronouns only (I/me, he/him)	Natural gender (pronouns)	Stress-timed	51	1	4	7	4	7.176470756530762	9	45	0	0	0	13	0	0	[1,4,7,4,7.176470756530762,51,9,0,45,8,10,8,2,11,4,3,4,5,0,1,1,3,4,3,7,8,4,4,0,2,1,6,4,0,0,0,0,13,0,0,0,0,7,2,2,3,4,1,5,2,9,1,5,9,9,7,8,2,6,3,7,3,2,1,7,3,1,5,2,8,8,3,7,5]	74	santok + threshold-onset phase1/2/3	cuda
Mandarin Chinese	Han (Simplified/Traditional)	SVO	我在学习中文。 (I am studying Chinese.)	Tonal (no lexical stress)	No case	No grammatical gender	Syllable-timed	41	1	4	6	4.0731706619262695	6.214158058166504	9	38	0	0	0	5	0	0	[1,4,6,4.0731706619262695,6.214158058166504,41,9,0,38,8,6,2,4,4,2,6,1,3,2,2,1,1,5,2,2,1,7,1,7,5,3,2,0,0,0,0,0,5,0,0,0,0,3,6,4,6,7,8,3,5,3,2,9,8,1,6,3,1,1,3,8,2,6,1,7,1,2,6,4,8,6,2,3,2]	74	santok + threshold-onset phase1/2/3	cuda
Hindi	Devanagari	SOV	मैं हिंदी सीख रहा हूँ। (I am learning Hindi.)	Penultimate syllable typically	Direct, oblique, vocative	Masculine, feminine	Mora-timed	40	0	4	6	4.675000190734863	6.069375038146973	9	34	0	0	0	9	0	0	[0,4,6,4.675000190734863,6.069375038146973,40,9,0,34,7,5,6,5,5,2,4,4,2,2,0,4,0,5,1,2,7,3,2,4,1,7,4,0,0,0,0,0,9,0,0,0,0,5,3,5,5,1,1,6,7,9,2,5,3,7,8,1,5,5,1,2,7,3,2,7,3,1,5,2,8,4,3,1,8]	74	santok + threshold-onset phase1/2/3	cuda
Spanish	Latin	SVO (flexible, pro-drop)	El gato negro duerme en el sofá.	Penultimate for vowel/n/s endings, final otherwise	No case (lost from Latin)	Masculine, feminine	Syllable-timed	50	0	4	7	4.179999828338623	7.707600116729736	9	44	0	0	0	13	0	0	[0,4,7,4.179999828338623,7.707600116729736,50,9,0,44,3,13,7,8,5,6,5,2,8,7,7,2,1,1,0,4,3,7,2,5,1,2,6,4,0,0,0,0,13,0,0,0,0,9,1,8,1,3,2,1,1,5,8,1,3,8,7,9,3,7,1,1,5,5,9,1,1,2,8,7,3,1,5,2,8]	74	santok + threshold-onset phase1/2/3	cuda
French	Latin	SVO (relatively fixed)	Le chat noir dort sur le canapé.	Final syllable stress (phrase-final)	No case	Masculine, feminine	Syllable-timed	47	7	4	7	4.57446813583374	7.648709774017334	9	41	0	0	0	10	0	0	[7,4,7,4.57446813583374,7.648709774017334,47,9,0,41,9,8,6,4,6,5,4,2,0,6,6,1,5,6,4,0,4,0,2,4,0,5,6,1,0,0,0,0,10,0,0,0,0,1,1,7,1,2,7,1,5,5,1,1,3,7,7,2,8,9,6,8,4,2,5,9,9,7,3,1,5,2,8,7,3]	74	santok + threshold-onset phase1/2/3	cuda
Arabic	Arabic	VSO (classical), SVO (modern dialects)	الولد يقرأ الكتاب. (The boy reads the book.)	Varies by dialect, typically penultimate	Nominative, accusative, genitive (classical)	Masculine, feminine	Mora-timed	53	3	4	7	4.490566253662109	7.117835521697998	9	48	0	0	0	11	0	0	[3,4,7,4.490566253662109,7.117835521697998,53,9,0,48,11,9,3,8,5,4,7,2,4,4,1,6,1,7,6,3,0,4,4,1,3,2,0,0,0,0,0,0,11,0,0,0,0,1,5,9,8,2,1,8,2,5,5,9,5,6,3,1,1,1,8,3,3,2,1,3,5,4,8,2,3,1,5,2,8]	74	santok + threshold-onset phase1/2/3	cuda
Bengali	Bengali	SOV	আমি বাংলা শিখছি। (I am learning Bengali.)	Initial syllable stress typically	Nominative, objective, genitive, locative	No grammatical gender	Stress-timed tendency	39	9	4	6	4.487179279327393	6.352399826049805	9	35	0	0	0	7	0	0	[9,4,6,4.487179279327393,6.352399826049805,39,9,0,35,6,5,6,3,3,7,2,4,1,1,3,2,1,2,8,4,2,0,0,1,3,3,1,2,0,0,0,0,7,0,0,0,0,3,2,1,4,6,7,9,1,5,7,7,7,8,5,2,3,1,3,6,4,7,3,1,5,2,8,8,2,7,1,4,6]	74	santok + threshold-onset phase1/2/3	cuda
Portuguese	Latin	SVO (flexible)	O gato preto dorme no sofá.	Penultimate; accent marks for irregular	No case	Masculine, feminine	Syllable-timed (BR) / stress-timed (EU)	50	0	4	5	4.079999923706055	5.793600082397461	9	47	0	0	0	8	0	0	[0,4,5,4.079999923706055,5.793600082397461,50,9,0,47,7,7,7,2,8,11,4,1,6,6,3,1,4,1,4,0,3,1,0,5,4,1,4,2,0,0,0,0,8,0,0,0,0,8,2,8,5,6,2,1,5,5,2,3,3,8,4,5,1,3,9,1,8,1,2,3,7,3,1,5,2,8,7,3,1]	74	santok + threshold-onset phase1/2/3	cuda
Russian	Cyrillic	SVO (flexible due to case)	Чёрный кот спит на диване.	Unpredictable lexical stress	Nominative, genitive, dative, accusative, instrumental, prepositional	Masculine, feminine, neuter	Syllable-timed tendency	53	3	5	6	5.849056720733643	6.8074049949646	9	45	0	0	0	14	0	0	[3,5,6,5.849056720733643,6.8074049949646,53,9,0,45,4,3,10,10,8,4,3,7,2,7,2,1,7,4,1,5,1,4,5,0,2,0,0,2,0,0,0,0,14,0,0,0,0,4,2,9,7,8,1,5,4,9,8,4,9,9,7,7,7,9,7,7,3,3,9,9,7,3,1,5,2,8,7,3,1]	74	santok + threshold-onset phase1/2/3	cuda
Urdu	Nastaliq (Perso-Arabic)	SOV	میں اردو سیکھ رہا ہوں۔ (I am learning Urdu.)	Penultimate typically	Direct, oblique, vocative	Masculine, feminine	Mora-timed	45	5	5	6	5.777777671813965	6.528395175933838	9	42	0	0	0	7	0	0	[5,5,6,5.777777671813965,6.528395175933838,45,9,0,42,5,11,2,5,5,6,5,3,1,6,7,8,7,2,1,2,3,1,2,5,3,3,4,1,0,0,0,0,7,0,0,0,0,9,8,2,9,1,8,6,7,9,6,5,3,8,5,8,4,3,1,8,9,5,7,3,1,5,2,8,8,7,1,7,8]	74	santok + threshold-onset phase1/2/3	cuda
Indonesian	Latin	SVO	Saya sedang belajar bahasa Indonesia.	Penultimate typically	No case	No grammatical gender	Syllable-timed	43	3	4	7	4.441860675811768	7.176852226257324	9	40	0	0	0	8	0	0	[3,4,7,4.441860675811768,7.176852226257324,43,9,0,40,4,8,6,5,4,7,3,3,4,6,5,7,8,4,2,5,4,1,6,2,5,5,1,2,0,0,0,0,8,0,0,0,0,5,1,7,2,9,1,5,3,8,4,3,9,7,2,7,6,8,6,7,7,3,1,5,2,8,4,3,7,1,9,2,3]	74	santok + threshold-onset phase1/2/3	cuda
German	Latin	V2 main clauses, SOV subordinate	Die schwarze Katze schläft auf dem Sofa.	Initial syllable for native words	Nominative, accusative, dative, genitive	Masculine, feminine, neuter	Stress-timed	61	1	5	6	5.1147541999816895	6.888470649719238	9	55	0	0	0	15	0	0	[1,5,6,5.1147541999816895,6.888470649719238,61,9,0,55,9,10,7,4,6,7,8,5,2,5,2,1,4,6,1,7,7,5,2,0,2,0,1,0,0,0,0,0,15,0,0,0,0,5,7,2,4,3,7,1,2,9,2,7,5,5,7,7,8,8,1,9,6,2,4,5,5,9,4,7,9,7,3,1,5]	74	santok + threshold-onset phase1/2/3	cuda
Japanese	Mixed (Hiragana, Katakana, Kanji)	SOV	私は日本語を勉強しています。 (I am studying Japanese.)	Pitch accent (not stress)	Particles mark relations (が,を,に,で,へ)	No grammatical gender	Mora-timed	45	5	5	6	5.244444370269775	6.806913375854492	9	39	0	0	0	8	0	0	[5,5,6,5.244444370269775,6.806913375854492,45,9,0,39,7,6,6,10,7,2,2,1,5,0,1,1,1,2,2,4,5,0,2,1,4,8,8,4,0,0,0,0,8,0,0,0,0,1,6,6,7,8,7,5,7,3,8,8,6,5,1,9,1,5,8,5,4,7,3,1,5,2,8,6,8,2,1,7,2]	74	santok + threshold-onset phase1/2/3	cuda
Arabic	Arabic	VSO (classical), SVO (modern dialects)	الولد يقرأ الكتاب. (The boy reads the book.)	Varies by dialect, typically penultimate	Nominative, accusative, genitive (classical Arabic)	Masculine, feminine	Mora-timed rhythm	58	8	4	7	4.586206912994385	7.621878623962402	9	50	0	0	0	11	0	0	[8,4,7,4.586206912994385,7.621878623962402,58,9,0,50,12,9,5,9,5,3,8,3,4,4,1,6,1,7,6,3,0,4,4,1,3,2,0,0,0,0,0,0,11,0,0,0,0,1,5,9,8,2,1,8,2,5,5,9,5,6,3,1,1,1,8,3,3,2,1,3,5,4,8,2,1,8,3,1,7]	74	santok + threshold-onset phase1/2/3	cuda
Bengali	Bengali	SOV (Subject-Object-Verb)	আমি বাংলা শিখছি। (I am learning Bengali.)	Initial syllable stress typically	Nominative, objective, genitive, locative (with postpositions)	No grammatical gender	Stress-timed tendency	50	0	4	5	4.360000133514404	5.830399990081787	9	47	0	0	0	10	0	0	[0,4,5,4.360000133514404,5.830399990081787,50,9,0,47,9,5,8,4,5,7,3,7,1,1,3,2,1,2,8,4,1,1,0,0,1,3,3,1,0,0,0,0,10,0,0,0,0,3,2,1,4,6,7,9,1,5,6,7,7,7,8,5,2,3,1,3,6,4,1,3,5,7,5,3,2,1,9,5,4]	74	santok + threshold-onset phase1/2/3	cuda
Portuguese	Latin	SVO (Subject-Verb-Object), flexible	O gato preto dorme no sofá.	Penultimate stress for most words, marked by accent when irregular	No case marking	Masculine, feminine	Syllable-timed (Brazilian) / stress-timed tendency (European)	59	9	4	6	4.423728942871094	6.515368938446045	9	55	0	0	0	19	0	0	[9,4,6,4.423728942871094,6.515368938446045,59,9,0,55,9,7,8,3,9,5,11,4,6,6,3,1,4,1,4,4,3,1,4,1,6,2,5,8,0,0,0,0,19,0,0,0,0,8,2,8,5,6,2,1,5,1,4,3,7,8,2,4,9,1,3,5,4,5,1,3,9,1,8,1,2,3,8,7,3]	74	santok + threshold-onset phase1/2/3	cuda
Russian	Cyrillic	SVO (flexible due to case marking)	Чёрный кот спит на диване.	Unpredictable lexical stress, distinctive	Nominative, genitive, dative, accusative, instrumental, prepositional	Masculine, feminine, neuter	Syllable-timed tendency	54	4	5	7	5.537036895751953	7.581961631774902	9	40	0	0	0	14	0	0	[4,5,7,5.537036895751953,7.581961631774902,54,9,0,40,3,4,10,9,7,6,5,7,2,7,2,1,7,4,1,5,1,5,4,2,0,8,0,6,0,0,0,0,14,0,0,0,0,4,2,9,7,8,1,5,4,9,8,3,7,9,9,1,1,7,7,9,7,7,3,3,9,9,5,7,7,3,3,1,1]	74	santok + threshold-onset phase1/2/3	cuda
Urdu	Nastaliq (Perso-Arabic)	SOV (Subject-Object-Verb)	میں اردو سیکھ رہا ہوں۔ (I am learning Urdu.)	Penultimate syllable stress typically	Direct, oblique, vocative (with postpositions)	Masculine, feminine	Mora-timed rhythm	51	1	5	6	5.43137264251709	6.284505844116211	9	48	0	0	0	12	0	0	[1,5,6,5.43137264251709,6.284505844116211,51,9,0,48,6,8,3,5,6,6,7,5,1,6,7,8,7,2,1,2,3,1,1,3,4,0,1,3,0,0,0,0,12,0,0,0,0,9,8,2,9,1,8,6,7,9,6,5,6,3,7,7,8,5,8,4,3,1,8,9,5,4,5,7,5,3,2,1,9]	74	santok + threshold-onset phase1/2/3	cuda
Indonesian	Latin	SVO (Subject-Verb-Object)	Saya sedang belajar bahasa Indonesia.	Penultimate syllable stress typically	No case marking	No grammatical gender	Syllable-timed rhythm	49	9	4	7	4.734694004058838	7.052061557769775	9	45	0	0	0	11	0	0	[9,4,7,4.734694004058838,7.052061557769775,49,9,0,45,4,8,8,5,5,6,7,3,4,6,5,7,8,4,1,3,4,0,1,4,1,6,2,5,0,0,0,0,11,0,0,0,0,5,1,7,2,9,1,5,6,3,7,7,8,4,3,9,7,2,7,6,8,6,7,6,7,3,1,5,2,8,4,3,7]	74	santok + threshold-onset phase1/2/3	cuda
German	Latin	V2 in main clauses, SOV in subordinate clauses	Die schwarze Katze schläft auf dem Sofa.	Initial syllable stress for native words, variable for loans	Nominative, accusative, dative, genitive	Masculine, feminine, neuter	Stress-timed rhythm	70	0	5	6	5.257143020629883	6.648163318634033	9	65	0	0	0	16	0	0	[0,5,6,5.257143020629883,6.648163318634033,70,9,0,65,9,11,8,5,8,6,10,7,2,5,2,1,4,6,1,7,3,4,5,2,1,1,2,4,0,0,0,0,16,0,0,0,0,5,7,2,4,3,7,1,2,9,6,2,7,5,6,5,3,7,7,7,8,8,4,9,8,2,9,6,2,4,5,5,9]	74	santok + threshold-onset phase1/2/3	cuda
Japanese	Mixed (Hiragana, Katakana, Kanji)	SOV (Subject-Object-Verb)	私は日本語を勉強しています。(I am studying Japanese.)	Pitch accent (not stress-based)	Particles mark grammatical relations (が, を, に, で, へ, と, から)	No grammatical gender (some gendered speech patterns)	Mora-timed rhythm	64	4	5	7	5.15625	7.1630859375	9	58	0	0	0	16	0	0	[4,5,7,5.15625,7.1630859375,64,9,0,58,10,9,10,9,7,6,2,6,0,6,1,1,2,1,1,4,5,4,2,1,4,8,8,4,0,0,0,0,16,0,0,0,0,1,1,7,8,7,5,6,7,3,8,4,6,5,1,9,1,5,8,5,4,9,7,3,1,5,2,8,6,8,2,1,7]	74	santok + threshold-onset phase1/2/3	cuda
Swahili	Latin	SVO (Subject-Verb-Object)	Ninajifunza Kiswahili. (I am learning Swahili.)	Penultimate syllable stress	No case marking (word order and agreement)	Noun class system (not masculine/feminine)	Syllable-timed rhythm	63	3	4	7	4.7936506271362305	7.1478962898254395	9	56	0	0	0	14	0	0	[3,4,7,4.7936506271362305,7.1478962898254395,63,9,0,56,4,7,3,8,7,8,7,12,2,0,4,1,2,8,4,1,3,4,0,5,5,1,5,1,0,0,0,0,14,0,0,0,0,4,2,2,6,7,9,1,5,6,3,7,7,2,7,8,3,2,3,9,9,1,4,7,3,1,5,2,8,4,3,7,3]	74	santok + threshold-onset phase1/2/3	cuda
Marathi	Devanagari	SOV (Subject-Object-Verb)	मी मराठी शिकत आहे. (I am learning Marathi.)	Usually on first syllable of root	Nominative, accusative, dative, ablative, genitive, locative, instrumental, vocative	Masculine, feminine, neuter	Mora-timed rhythm	55	5	4	7	4.672727108001709	7.347437858581543	9	51	0	0	0	11	0	0	[5,4,7,4.672727108001709,7.347437858581543,55,9,0,51,9,8,9,5,5,6,5,5,6,6,2,2,3,1,2,8,4,1,2,2,1,4,3,1,0,0,0,0,11,0,0,0,0,3,9,3,1,3,6,7,9,1,5,6,4,2,3,7,4,3,9,5,1,1,8,6,9,1,4,5,7,5,3,2,1]	74	santok + threshold-onset phase1/2/3	cuda
Telugu	Telugu	SOV (Subject-Object-Verb)	నేను తెలుగు నేర్చుకుంటున్నాను. (I am learning Telugu.)	Initial syllable stress typically	Nominative, accusative, dative, genitive, locative, instrumental, ablative	Masculine, feminine, neuter	Mora-timed rhythm	51	1	4	7	4.607842922210693	7.257977485656738	9	44	0	0	0	14	0	0	[1,4,7,4.607842922210693,7.257977485656738,51,9,0,44,6,6,5,6,6,5,10,4,2,3,4,0,1,2,8,4,1,1,0,0,1,1,5,3,0,0,0,0,14,0,0,0,0,3,5,2,6,6,7,9,1,5,6,7,7,7,8,9,4,1,1,1,8,6,6,5,2,7,5,3,2,1,9,5,4]	74	santok + threshold-onset phase1/2/3	cuda
