language,neighbor_rank,nearest_neighbor,similarity
Amharic,1,Burmese,1
Amharic,2,Khmer,1
Amharic,3,Somali,1
Arabic,1,Arabic,0.9934999942779541
Arabic,2,Arabic,0.9934999942779541
Arabic,3,Korean,0.9639000296592712
Bengali,1,Telugu,0.9819999933242798
Bengali,2,Tamil,0.9757000207901001
Bengali,3,German,0.9632999897003174
Burmese,1,Khmer,1
Burmese,2,Somali,1
Burmese,3,Pashto,1
Cantonese,1,Arabic,0.9527999758720398
Cantonese,2,Bengali,0.9488999843597412
Cantonese,3,German,0.9473000168800354
Czech,1,Amharic,1
Czech,2,Burmese,1
Czech,3,Khmer,1
Danish,1,Malay,0.9818999767303467
Danish,2,Ukrainian,0.9818999767303467
Danish,3,Hausa,0.9778000116348267
Dutch,1,Greek,1
Dutch,2,Sinhalese,1
Dutch,3,Czech,0.9955999851226807
English,1,German,0.9664000272750854
English,2,German,0.963100016117096
English,3,Turkish,0.9552000164985657
French,1,German,0.9495999813079834
French,2,German,0.9484999775886536
French,3,Indonesian,0.9458000063896179
German,1,German,0.9785000085830688
German,2,German,0.9785000085830688
German,3,Swahili,0.9692000150680542
Greek,1,Sinhalese,1
Greek,2,Dutch,1
Greek,3,Czech,0.9955999851226807
Gujarati,1,Javanese,1
Gujarati,2,Polish,1
Gujarati,3,Punjabi,1
Hausa,1,Swedish,0.9968000054359436
Hausa,2,Danish,0.9778000116348267
Hausa,3,Malay,0.9768000245094299
Hebrew,1,Hungarian,1
Hebrew,2,Kannada,0.9955999851226807
Hebrew,3,Dutch,0.9937000274658203
Hindi,1,English,0.9545000195503235
Hindi,2,German,0.9495000243186951
Hindi,3,Korean,0.9487000107765198
Hungarian,1,Hebrew,1
Hungarian,2,Kannada,0.9955999851226807
Hungarian,3,Sinhalese,0.9937000274658203
Indonesian,1,Indonesian,0.9602000117301941
Indonesian,2,Indonesian,0.9602000117301941
Indonesian,3,Japanese,0.9589999914169312
Italian,1,Russian,0.9513999819755554
Italian,2,English,0.9501000046730042
Italian,3,Indonesian,0.946399986743927
Japanese,1,Marathi,0.9653000235557556
Japanese,2,German,0.9635999798774719
Japanese,3,Japanese,0.9621999859809875
Javanese,1,Polish,1
Javanese,2,Punjabi,1
Javanese,3,Czech,1
Kannada,1,Hungarian,0.9955999851226807
Kannada,2,Hebrew,0.9955999851226807
Kannada,3,Dutch,0.9848999977111816
Khmer,1,Somali,1
Khmer,2,Pashto,1
Khmer,3,Tagalog,1
Korean,1,German,0.9671000242233276
Korean,2,Marathi,0.9671000242233276
Korean,3,Arabic,0.9639000296592712
Malay,1,Ukrainian,1
Malay,2,Danish,0.9818999767303467
Malay,3,Hausa,0.9768000245094299
Mandarin Chinese,1,Swahili,0.9578999876976013
Mandarin Chinese,2,Korean,0.9485999941825867
Mandarin Chinese,3,German,0.947700023651123
Marathi,1,Korean,0.9671000242233276
Marathi,2,Japanese,0.9653000235557556
Marathi,3,German,0.9642000198364258
Nepali,1,Odia,1
Nepali,2,Romanian,1
Nepali,3,Persian,0.9754999876022339
Odia,1,Romanian,1
Odia,2,Nepali,1
Odia,3,Zulu,0.9754999876022339
Pashto,1,Tagalog,1
Pashto,2,Gujarati,1
Pashto,3,Javanese,1
Persian,1,Zulu,1
Persian,2,Polish,0.9778000116348267
Persian,3,Punjabi,0.9778000116348267
Polish,1,Punjabi,1
Polish,2,Czech,1
Polish,3,Amharic,1
Portuguese,1,German,0.963699996471405
Portuguese,2,Korean,0.960099995136261
Portuguese,3,Portuguese,0.9560999870300293
Punjabi,1,Czech,1
Punjabi,2,Amharic,1
Punjabi,3,Burmese,1
Romanian,1,Nepali,1
Romanian,2,Odia,1
Romanian,3,Zulu,0.9754999876022339
Russian,1,Russian,0.9677000045776367
Russian,2,Russian,0.9677000045776367
Russian,3,Indonesian,0.9573000073432922
Sinhalese,1,Dutch,1
Sinhalese,2,Greek,1
Sinhalese,3,Somali,0.9955999851226807
Somali,1,Pashto,1
Somali,2,Tagalog,1
Somali,3,Gujarati,1
Spanish,1,German,0.9521999955177307
Spanish,2,Turkish,0.9488000273704529
Spanish,3,Japanese,0.9470000267028809
Swahili,1,German,0.9692000150680542
Swahili,2,German,0.967199981212616
Swahili,3,Tamil,0.9646999835968018
Swedish,1,Hausa,0.9968000054359436
Swedish,2,Danish,0.9710999727249146
Swedish,3,Malay,0.9646000266075134
Tagalog,1,Gujarati,1
Tagalog,2,Javanese,1
Tagalog,3,Polish,1
Tamil,1,Bengali,0.9757000207901001
Tamil,2,Telugu,0.9739000201225281
Tamil,3,Swahili,0.9646999835968018
Telugu,1,Bengali,0.9819999933242798
Telugu,2,Tamil,0.9739000201225281
Telugu,3,German,0.9592999815940857
Thai,1,Korean,0.9447000026702881
Thai,2,Indonesian,0.942300021648407
Thai,3,Indonesian,0.9347000122070312
Turkish,1,Marathi,0.9567999839782715
Turkish,2,German,0.95660001039505
Turkish,3,English,0.9552000164985657
Ukrainian,1,Malay,1
Ukrainian,2,Danish,0.9818999767303467
Ukrainian,3,Hausa,0.9768000245094299
Urdu,1,Urdu,0.9677000045776367
Urdu,2,Urdu,0.9677000045776367
Urdu,3,German,0.9635000228881836
Vietnamese,1,Urdu,0.9466000199317932
Vietnamese,2,Japanese,0.9444000124931335
Vietnamese,3,Korean,0.9441999793052673
Zulu,1,Persian,1
Zulu,2,Amharic,0.9778000116348267
Zulu,3,Burmese,0.9778000116348267